Time [s],Speed [mph],Speed [mps],Acceleration Command [m/s²],Calculated Acceleration [m/s²]
0.0609,0.0,0.0,-0.5,-0.5
0.1609,0.0,0.0,-0.5,-0.5
0.2609,0.0,0.0,-0.5,-0.5
0.3609,0.0,0.0,-0.5,-0.5
0.4609,0.0,0.0,-0.5,-0.5
0.5611,0.0,0.0,-0.5,-0.5
0.6608,0.0,0.0,-0.5,-0.5
0.761,0.0,0.0,-0.5,-0.5
0.8609,0.0,0.0,-0.5,-0.5
0.9609,0.0,0.0,-0.5,-0.5
1.0609,0.0,0.0,-0.5,-0.5
1.1609,0.0,0.0,-0.5,-0.5
1.2612,0.0,0.0,-0.5,-0.5
1.3609,0.0,0.0,-0.5,-0.5
1.4609,0.0,0.0,-0.5,-0.5
1.5609,0.0,0.0,-0.5,-0.5
1.6609,0.0,0.0,-0.5,-0.5
1.761,0.0,0.0,-0.5,-0.5
1.8609,0.0,0.0,-0.5,-0.5
1.961,0.0,0.0,-0.5,-0.5
2.0609,0.0,0.0,-0.5,-0.5
2.161,0.0,0.0,-0.5,-0.5
2.2609,0.0,0.0,-0.5,-0.5
2.3609,0.0,0.0,-0.5,-0.5
2.4609,0.0,0.0,-0.5,-0.5
2.5609,0.0,0.0,-0.5,-0.5
2.6609,0.0,0.0,-0.5,-0.5
2.7609,0.0,0.0,-0.5,-0.5
2.8609,0.0,0.0,-0.5,-0.5
2.9609,0.0,0.0,-0.5,-0.5
3.0609,0.0,0.0,-0.5,-0.5
3.1609,0.0,0.0,-0.5,-0.5
3.2609,0.0,0.0,-0.5,-0.5
3.3609,0.0,0.0,-0.5,-0.5
3.4611,0.0,0.0,-0.5,-0.5
3.561,0.0,0.0,-0.5,-0.5
3.6609,0.0,0.0,-0.5,-0.5
3.7609,0.0,0.0,-0.5,-0.5
3.861,0.0,0.0,-0.5,-0.5
3.9609,0.0,0.0,-0.5,-0.5
4.0609,0.0,0.0,-0.5,-0.5
4.1609,0.0,0.0,-0.5,-0.5
4.2612,0.0,0.0,-0.5,-0.5
4.3609,0.0,0.0,-0.5,-0.5
4.461,0.0,0.0,-0.5,-0.5
4.5609,0.0,0.0,-0.5,-0.5
4.6613,0.0,0.0,-0.5,-0.5
4.7609,0.0,0.0,-0.5,-0.5
4.8621,0.0,0.0,-0.5,-0.5
4.9611,0.0,0.0,-0.5,-0.5
5.0609,0.0,0.0,-0.5,-0.5
5.1609,0.0,0.0,-0.5,-0.5
5.2609,0.0,0.0,-0.5,-0.5
5.361,0.0,0.0,-0.5,-0.5
5.4609,0.0,0.0,-0.5,-0.5
5.561,0.0,0.0,-0.5,-0.5
5.6609,0.0,0.0,-0.5,-0.5
5.7609,0.0,0.0,-0.5,-0.5
5.8611,0.0,0.0,-0.5,-0.5
5.9611,0.0,0.0,-0.5,-0.5
6.0609,0.0,0.0,-0.5,-0.5
6.1609,0.0,0.0,-0.5,-0.5
6.2611,0.0,0.0,-0.5,-0.5
6.3609,0.0,0.0,-0.5,-0.5
6.4609,0.0,0.0,-0.5,-0.5
6.561,0.0,0.0,-0.5,-0.5
6.661,0.0,0.0,-0.5,-0.5
6.7609,0.0,0.0,-0.5,-0.5
6.861,0.0,0.0,-0.5,-0.5
6.9611,0.0,0.0,-0.5,-0.5
7.061,0.0,0.0,-0.5,-0.5
7.161,0.0,0.0,-0.5,-0.5
7.2611,0.0,0.0,-0.5,-0.5
7.3609,0.0,0.0,-0.5,-0.5
7.4609,0.0,0.0,-0.5,-0.5
7.5609,0.0,0.0,-0.5,-0.5
7.6609,0.0,0.0,-0.5,-0.5
7.7609,0.0,0.0,-0.5,-0.5
7.8611,0.0,0.0,-0.5,-0.5
7.9611,0.0,0.0,-0.5,-0.5
8.0609,0.0,0.0,-0.5,-0.5
8.1609,0.0,0.0,-0.5,-0.5
8.2609,0.0,0.0,-0.5,-0.5
8.3609,0.0,0.0,-0.5,-0.5
8.4609,0.0,0.0,-0.5,-0.5
8.5609,0.0,0.0,-0.5,-0.5
8.661,0.0,0.0,-0.5,-0.5
8.7609,0.0,0.0,-0.5,-0.5
8.8609,0.0,0.0,-0.5,-0.5
8.9611,0.0,0.0,-0.5,-0.5
9.0609,0.0,0.0,-0.5,-0.5
9.161,0.0,0.0,-0.5,-0.5
9.261,0.0,0.0,-0.5,-0.5
9.3611,0.0,0.0,-0.5,-0.5
9.4615,0.0,0.0,-0.5,-0.5
9.5611,0.0,0.0,-0.5,-0.5
9.661,0.0,0.0,-0.5,-0.5
9.7611,0.0,0.0,-0.5,-0.5
9.861,0.0,0.0,-0.5,-0.5
9.9619,0.0,0.0,-0.5,-0.5
10.0622,0.0,0.0,-0.5,-0.5
10.1611,0.0,0.0,-0.5,-0.5
10.2611,0.0,0.0,-0.5,-0.5
10.3613,0.0,0.0,-0.5,-0.5
10.4611,0.0,0.0,-0.5,-0.5
10.5611,0.0,0.0,-0.5,-0.5
10.6611,0.0,0.0,-0.5,-0.5
10.7611,0.0,0.0,-0.5,-0.5
10.8611,0.0,0.0,-0.5,-0.5
10.9611,0.0,0.0,-0.5,-0.5
11.0611,0.0,0.0,-0.5,-0.5
11.1611,0.0,0.0,-0.5,-0.5
11.2611,0.0,0.0,-0.5,-0.5
11.3611,0.0,0.0,-0.5,-0.5
11.4612,0.0,0.0,-0.5,-0.5
11.5611,0.0,0.0,-0.5,-0.5
11.6611,0.0,0.0,-0.5,-0.5
11.7611,0.0,0.0,-0.5,-0.5
11.8612,0.0,0.0,-0.5,-0.5
11.9611,0.0,0.0,-0.5,-0.5
12.0612,0.0,0.0,-0.5,-0.5
12.1611,0.0,0.0,-0.5,-0.5
12.2611,0.0,0.0,-0.5,-0.5
12.3611,0.0,0.0,-0.5,-0.5
12.4611,0.0,0.0,-0.5,-0.5
12.5611,0.0,0.0,-0.5,-0.5
12.6611,0.0,0.0,-0.5,-0.5
12.7612,0.0,0.0,-0.5,-0.5
12.8611,0.0,0.0,-0.5,-0.5
12.9611,0.0,0.0,-0.5,-0.5
13.0612,0.0,0.0,-0.5,-0.5
13.1611,0.0,0.0,-0.5,-0.5
13.2611,0.0,0.0,-0.5,-0.5
13.3611,0.0,0.0,-0.5,-0.5
13.4612,0.0,0.0,-0.5,-0.5
13.5612,0.0,0.0,-0.5,-0.5
13.6621,0.0,0.0,-0.5,-0.5
13.7611,0.0,0.0,-0.5,-0.5
13.8612,0.0,0.0,-0.5,-0.5
13.9613,0.0,0.0,-0.5,-0.5
14.0611,0.0,0.0,-0.5,-0.5
14.1617,0.0,0.0,-0.5,-0.5
14.2613,0.0,0.0,-0.5,-0.5
14.3611,0.0,0.0,-0.5,-0.5
14.4611,0.0,0.0,-0.5,-0.5
14.5611,0.0,0.0,-0.5,-0.5
14.6611,0.0,0.0,-0.5,-0.5
14.7612,0.0,0.0,-0.5,-0.5
14.8613,0.0,0.0,-0.5,-0.5
14.9611,0.0,0.0,-0.5,-0.5
15.0613,0.0,0.0,-0.5,-0.5
15.1611,0.0,0.0,-0.5,-0.5
15.2614,0.0,0.0,-0.5,-0.5
15.3611,0.0,0.0,-0.5,-0.5
15.4611,0.0,0.0,-0.5,-0.5
15.5611,0.0,0.0,-0.5,-0.5
15.6611,0.0,0.0,-0.5,-0.5
15.7612,0.0,0.0,-0.5,-0.5
15.8612,0.0,0.0,-0.5,-0.5
15.9611,0.0,0.0,-0.5,-0.5
16.0611,0.0,0.0,-0.5,-0.5
16.1611,0.0,0.0,-0.5,-0.5
16.2611,0.0,0.0,-0.5,-0.5
16.3611,0.0,0.0,-0.5,-0.5
16.4611,0.0,0.0,-0.5,-0.5
16.5611,0.0,0.0,-0.5,-0.5
16.6611,0.0,0.0,-0.5,-0.5
16.7611,0.0,0.0,-0.5,-0.5
16.8613,0.0,0.0,-0.5,-0.5
16.9612,0.0,0.0,-0.5,-0.5
17.0611,0.0,0.0,-0.5,-0.5
17.1611,0.0,0.0,-0.5,-0.5
17.2611,0.0,0.0,-0.5,-0.5
17.3612,0.0,0.0,-0.5,-0.5
17.4611,0.0,0.0,-0.5,-0.5
17.5613,0.0,0.0,-0.5,-0.5
17.6611,0.0,0.0,-0.5,-0.5
17.7611,0.0,0.0,-0.5,-0.5
17.8611,0.0,0.0,-0.5,-0.5
17.9614,0.0,0.0,-0.5,-0.5
18.0612,0.0,0.0,-0.5,-0.5
